user_id,signup_date,acquisition_channel
10001,2025-05-15,Paid Ads
10002,2025-06-08,Referral
10003,2025-04-06,Paid Ads
10004,2025-03-09,Paid Ads
10005,2025-03-27,Paid Ads
10006,2025-02-16,Referral
10007,2025-01-04,Paid Ads
10008,2025-04-30,Referral
10009,2025-03-22,Referral
10010,2025-02-01,Paid Ads
10011,2025-05-29,Organic
10012,2025-05-12,Referral
10013,2025-01-10,Referral
10014,2025-01-03,Referral
10015,2025-01-03,Organic
10016,2025-03-16,Paid Ads
10017,2025-05-03,Paid Ads
10018,2025-01-11,Organic
10019,2025-04-18,Organic
10020,2025-04-25,Paid Ads
10021,2025-03-01,Paid Ads
10022,2025-05-31,Organic
10023,2025-02-27,Organic
10024,2025-05-03,Organic
10025,2025-06-20,Paid Ads
10026,2025-06-04,Organic
10027,2025-01-15,Paid Ads
10028,2025-03-07,Organic
10029,2025-06-18,Organic
10030,2025-01-08,Paid Ads
10031,2025-04-23,Organic
10032,2025-03-02,Paid Ads
10033,2025-03-28,Paid Ads
10034,2025-02-11,Organic
10035,2025-03-25,Referral
10036,2025-05-12,Paid Ads
10037,2025-05-22,Organic
10038,2025-01-14,Organic
10039,2025-05-29,Paid Ads
10040,2025-06-04,Referral
10041,2025-03-31,Paid Ads
10042,2025-06-02,Referral
10043,2025-01-29,Paid Ads
10044,2025-02-07,Paid Ads
10045,2025-04-07,Organic
10046,2025-04-26,Organic
10047,2025-03-19,Organic
10048,2025-05-28,Paid Ads
10049,2025-02-11,Organic
10050,2025-03-15,Paid Ads
10051,2025-02-01,Organic
10052,2025-04-07,Organic
10053,2025-05-08,Organic
10054,2025-05-06,Paid Ads
10055,2025-04-27,Paid Ads
10056,2025-03-30,Organic
10057,2025-06-27,Organic
10058,2025-06-22,Referral
10059,2025-03-03,Referral
10060,2025-06-09,Referral
10061,2025-02-10,Paid Ads
10062,2025-03-18,Paid Ads
10063,2025-03-30,Paid Ads
10064,2025-06-05,Paid Ads
10065,2025-06-26,Referral
10066,2025-06-14,Referral
10067,2025-02-17,Referral
10068,2025-04-15,Organic
10069,2025-02-11,Paid Ads
10070,2025-05-22,Referral
10071,2025-03-19,Paid Ads
10072,2025-04-01,Organic
10073,2025-03-07,Organic
10074,2025-01-14,Organic
10075,2025-04-01,Paid Ads
10076,2025-03-09,Paid Ads
10077,2025-02-02,Organic
10078,2025-05-23,Referral
10079,2025-03-28,Referral
10080,2025-05-02,Paid Ads
10081,2025-06-10,Paid Ads
10082,2025-05-29,Paid Ads
10083,2025-04-10,Organic
10084,2025-06-23,Paid Ads
10085,2025-03-07,Paid Ads
10086,2025-01-30,Paid Ads
10087,2025-03-15,Organic
10088,2025-03-06,Paid Ads
10089,2025-02-16,Paid Ads
10090,2025-06-26,Organic
10091,2025-05-01,Paid Ads
10092,2025-02-08,Referral
10093,2025-01-28,Referral
10094,2025-04-09,Organic
10095,2025-06-12,Referral
10096,2025-06-18,Organic
10097,2025-06-22,Paid Ads
10098,2025-02-10,Organic
10099,2025-05-26,Referral
10100,2025-03-30,Paid Ads
10101,2025-02-27,Paid Ads
10102,2025-02-26,Referral
10103,2025-03-04,Paid Ads
10104,2025-04-15,Organic
10105,2025-05-05,Paid Ads
10106,2025-05-10,Organic
10107,2025-05-05,Organic
10108,2025-02-24,Organic
10109,2025-04-01,Referral
10110,2025-02-22,Referral
10111,2025-04-20,Paid Ads
10112,2025-05-29,Organic
10113,2025-02-01,Organic
10114,2025-05-10,Organic
10115,2025-03-11,Paid Ads
10116,2025-06-12,Paid Ads
10117,2025-06-16,Paid Ads
10118,2025-01-07,Paid Ads
10119,2025-05-09,Paid Ads
10120,2025-04-05,Paid Ads
10121,2025-05-08,Paid Ads
10122,2025-05-24,Paid Ads
10123,2025-01-28,Paid Ads
10124,2025-03-24,Paid Ads
10125,2025-06-07,Organic
10126,2025-04-09,Organic
10127,2025-06-06,Organic
10128,2025-01-17,Referral
10129,2025-02-22,Paid Ads
10130,2025-05-30,Referral
10131,2025-06-03,Organic
10132,2025-06-17,Paid Ads
10133,2025-02-23,Paid Ads
10134,2025-03-28,Paid Ads
10135,2025-03-03,Paid Ads
10136,2025-06-08,Paid Ads
10137,2025-04-03,Paid Ads
10138,2025-06-02,Paid Ads
10139,2025-04-04,Organic
10140,2025-04-23,Organic
10141,2025-04-03,Referral
10142,2025-04-19,Paid Ads
10143,2025-06-04,Paid Ads
10144,2025-01-15,Referral
10145,2025-04-11,Organic
10146,2025-05-12,Paid Ads
10147,2025-04-07,Paid Ads
10148,2025-06-22,Organic
10149,2025-03-28,Referral
10150,2025-02-22,Paid Ads
10151,2025-01-01,Paid Ads
10152,2025-03-10,Paid Ads
10153,2025-03-18,Paid Ads
10154,2025-01-21,Organic
10155,2025-06-01,Paid Ads
10156,2025-05-10,Paid Ads
10157,2025-06-29,Organic
10158,2025-02-25,Referral
10159,2025-04-01,Paid Ads
10160,2025-03-22,Paid Ads
10161,2025-06-14,Paid Ads
10162,2025-06-06,Paid Ads
10163,2025-02-08,Referral
10164,2025-01-22,Paid Ads
10165,2025-06-05,Paid Ads
10166,2025-06-21,Paid Ads
10167,2025-03-22,Paid Ads
10168,2025-01-26,Referral
10169,2025-05-12,Paid Ads
10170,2025-04-20,Paid Ads
10171,2025-06-20,Organic
10172,2025-03-21,Referral
10173,2025-03-30,Organic
10174,2025-01-28,Organic
10175,2025-02-03,Paid Ads
10176,2025-06-08,Organic
10177,2025-06-03,Paid Ads
10178,2025-01-02,Paid Ads
10179,2025-02-15,Paid Ads
10180,2025-06-28,Referral
10181,2025-01-22,Organic
10182,2025-03-13,Referral
10183,2025-01-13,Paid Ads
10184,2025-01-07,Organic
10185,2025-01-19,Paid Ads
10186,2025-02-17,Paid Ads
10187,2025-06-29,Paid Ads
10188,2025-05-03,Referral
10189,2025-04-02,Paid Ads
10190,2025-03-30,Paid Ads
10191,2025-05-26,Paid Ads
10192,2025-06-02,Referral
10193,2025-05-27,Organic
10194,2025-06-29,Organic
10195,2025-04-02,Referral
10196,2025-03-20,Paid Ads
10197,2025-01-11,Paid Ads
10198,2025-03-28,Organic
10199,2025-06-30,Paid Ads
